(0, 0, -1368, 1),
(992, -720, -608, 1),
(-376, -1160, -608, 1),
(-1224, 0, -608, 1),
(-376, 1160, -608, 1),
(992, 720, -608, 1),
(376, -1160, 608, 1),
(-992, -720, 608, 1),
(-992, 720, 608, 1),
(376, 1160, 608, 1),
(1224, 0, 608, 1),
(0, 0, 1368, 1),
(-216, -680, -1160, 1),
(576, -416, -1160, 1),
(360, -1104, -720, 1),
(1160, 0, -720, 1),
(576, 416, -1160, 1),
(-720, 0, -1160, 1),
(-944, -680, -720, 1),
(-216, 680, -1160, 1),
(-944, 680, -720, 1),
(360, 1104, -720, 1),
(1304, -416, 0, 1),
(1304, 416, 0, 1),
(0, -1368, 0, 1),
(800, -1104, 0, 1),
(-1304, -416, 0, 1),
(-800, -1104, 0, 1),
(-800, 1104, 0, 1),
(-1304, 416, 0, 1),
(800, 1104, 0, 1),
(0, 1368, 0, 1),
(944, -680, 720, 1),
(-360, -1104, 720, 1),
(-1160, 0, 720, 1),
(-360, 1104, 720, 1),
(944, 680, 720, 1),
(216, -680, 1160, 1),
(720, 0, 1160, 1),
(-576, -416, 1160, 1),
(-576, 416, 1160, 1),
(216, 680, 1160, 1),
